,mmsi,timestamp,lon,lat,knots,cog,heading,rot,ship_type,nav_status,length,width,maxspeed,aisid,is_anomaly,anomaly_name,anomaly_value,no_prototype_found,assessment
10421,257983000,2018-07-03 10:28:11,11.675277,57.624432,9.9,215.4,215.0,0.0,Tanker,Under way using engine,,27.0,,221590,False,,,False,TN
10422,249803000,2018-07-03 10:28:14,11.592482,57.600457,11.7,300.4,297.0,0.0,Tanker,Under way using engine,,17.0,,221593,False,,,False,TN
10423,265627630,2018-07-03 10:28:24,11.821717,57.624547,0.2,252.9,20.0,0.0,Cargo,Unknown value,,10.0,,221605,True,cog,0.0001068021611618,False,FN
10424,265547240,2018-07-03 10:28:28,11.79349,57.60469,8.2,235.0,232.0,11.4,Passenger,Under way using engine,,6.0,,221610,False,,,False,TN
10425,236111757,2018-07-03 10:28:29,11.678383,57.5934,7.9,201.1,202.0,0.0,Tanker,Under way using engine,,8.0,,221611,True,sog,0.0076116780456956,False,TP
10426,265547270,2018-07-03 10:28:34,11.785847,57.64869,2.3,63.9,232.0,-90.4,Passenger,Under way using engine,,8.0,,221618,False,,,False,TN
10427,265638160,2018-07-03 10:28:36,11.811768,57.62369,16.6,14.8,,,Cargo,Unknown value,,3.0,,221622,False,,,False,TN
10428,249803000,2018-07-03 10:28:44,11.589788,57.601183,11.8,295.4,295.0,0.0,Tanker,Under way using engine,,17.0,,221634,False,,,False,FP
10429,265547240,2018-07-03 10:29:03,11.791643,57.60401,6.8,240.8,247.0,40.2,Passenger,Under way using engine,,6.0,,221657,False,,,False,TN
10430,266247000,2018-07-03 10:29:10,11.847753,57.685345,1.3,306.6,132.0,0.0,Cargo,Under way using engine,,26.0,,221666,False,,,False,TN
10431,236111757,2018-07-03 10:29:13,11.678383,57.5934,7.9,201.1,202.0,0.0,Tanker,Under way using engine,,8.0,,221669,True,sog,0.0076116780456956,False,TP
10432,265547240,2018-07-03 10:29:17,11.791128,57.603907,2.6,258.1,264.0,67.9,Passenger,Under way using engine,,6.0,,221674,False,,,False,TN
10433,236111757,2018-07-03 10:29:29,11.67695,57.591333,7.9,200.0,202.0,0.0,Tanker,Under way using engine,,8.0,,221690,True,sog,0.0076116780456956,False,TP
10434,249803000,2018-07-03 10:29:35,11.584907,57.602372,12.0,294.3,295.0,0.0,Tanker,Under way using engine,,17.0,,221696,False,,,False,TN
